id,gender,age,ethnicity,location,current_role,industry,current_salary,favourite_programming_language
62a35b13bc6861bf31770188,Male,26,White or Caucasian,United States,Data Analyst,Construction,75500,Python
62a35b72f408bae018ed76a8,Male,27,Hispanic or Latino,United States,Data Analyst,Healthcare,95500,Other
62a35b965d257a28a30db899,Male,33,Asian or Asian American,Canada,Data Analyst,Other,75500,Python
62a35ba3f3072dd892626068,Male,28,Hispanic or Latino,United States,Data Analyst,Other,75500,Python
62a35c890a77c1a77f65fdfa,Male,32,Black or African American,Other,Data Analyst,Tech,20000,R
62a35d8f575fa3a5ae88efd6,Male,34,Asian or Asian American,Canada,Student/Looking/None,Other,53000,Python
62a35d95cf25554317304386,Male,28,Asian or Asian American,United States,Data Analyst,Tech,187500,Python
62a35e970a77c1a77f66035a,Male,27,Other,India,Data Scientist,Telecommunication,137500,Python
62a35eabf408bae018ed7cbc,Male,22,White or Caucasian,United States,Data Engineer,Finance,53000,Python
62a35f0d24a2626027386a8b,Male,29,White or Caucasian,United States,Data Analyst,Healthcare,75500,Python
62a35f825d257a28a30dc128,Female,31,White or Caucasian,United States,Data Analyst,Healthcare,75500,Python
62a35fa0f8f7561645856c35,Male,28,White or Caucasian,United States,Data Analyst,Tech,75500,Python
62a35fc1f8f7561645856c98,Male,24,Asian or Asian American,United States,Student/Looking/None,Healthcare,20000,Python
62a3602318134ddc75ced6b9,Male,34,White or Caucasian,United States,Data Analyst,Other,95500,Other
62a360b8f8f7561645856ec4,Male,23,White or Caucasian,United States,Data Engineer,Tech,95500,Python
62a360dbd8c00e9f541a16cf,Male,32,White or Caucasian,Other,Student/Looking/None,Construction,53000,Other
62a36146f8f7561645856ff7,Male,29,Hispanic or Latino,Other,Data Analyst,Healthcare,20000,R
62a361af0f8c8599d5af6277,Male,34,Black or African American,Other,Data Analyst,Education,20000,Python
62a361cc575fa3a5ae88f908,Male,24,White or Caucasian,United Kingdom,Data Analyst,Finance,75500,Python
62a3620f0f8c8599d5af63a5,Male,30,Other,United States,Other,Tech,75500,Python
62a36251d8c00e9f541a199e,Male,24,Hispanic or Latino,United States,Other,Other,95500,Python
62a36275bc6861bf31771183,Male,27,Other,United States,Data Analyst,Other,53000,Python
62a3636c2e54c9003e536e6b,Male,21,Asian or Asian American,India,Data Analyst,Finance,20000,Python
62a365c2f8d5efcc22f81e2e,Male,31,Black or African American,Other,Data Analyst,Other,20000,Python
62a365d5d8c00e9f541a20cf,Male,41,White or Caucasian,Other,Data Analyst,Telecommunication,20000,R
62a3670b575fa3a5ae890422,Male,25,Asian or Asian American,India,Data Analyst,Tech,20000,Python
62a3676bb4da29969c633ac7,Male,24,Black or African American,Other,Data Analyst,Finance,20000,Other
62a36794b4da29969c633b48,Male,30,Other,Other,Data Analyst,Finance,20000,Python
62a367d224a2626027387b56,Male,33,White or Caucasian,United States,Data Analyst,Finance,187500,Other
62a367ed18134ddc75cee697,Male,23,Hispanic or Latino,United States,Data Analyst,Other,75500,Other
62a36802f8f7561645857e38,Female,33,Asian or Asian American,United Kingdom,Data Analyst,Tech,75500,Python
62a3684ebc6861bf31771f15,Male,25,White or Caucasian,United States,Data Analyst,Finance,115500,Python
62a3688df8f7561645857f7e,Female,27,White or Caucasian,Other,Data Analyst,Other,20000,Python
62a368ee2e54c9003e537e4a,Male,30,White or Caucasian,United Kingdom,Data Analyst,Finance,20000,C/C++
62a369280a77c1a77f661ad0,Male,29,Black or African American,Other,Data Analyst,Tech,20000,Python
62a36969f8f756164585821d,Male,25,Other,India,Other,Healthcare,20000,Python
62a3697ff408bae018ed948b,Male,40,Hispanic or Latino,United States,Data Analyst,Telecommunication,95500,Other
62a36ac6cf255543173063d8,Female,29,Other,Canada,Data Analyst,Other,53000,Other
62a36ad1f408bae018ed9793,Male,29,Asian or Asian American,India,Data Analyst,Other,53000,Python
62a36b6c24a26260273882a2,Male,28,Black or African American,Other,Data Analyst,Education,20000,Python
