id;current_role;other_role_specified;current_salary;low_range;high_range;salary_average
62a367ed18134ddc75cee697;Data Analyst;NA;75500;66,00;85,00;75,50
62a36802f8f7561645857e38;Data Analyst;NA;75500;66,00;85,00;75,50
62a3684ebc6861bf31771f15;Data Analyst;NA;115500;106,00;125,00;115,50
62a3688df8f7561645857f7e;Data Analyst;NA;20000;,00;40,00;20,00
62a368ee2e54c9003e537e4a;Data Analyst;NA;20000;,00;40,00;20,00
62a369280a77c1a77f661ad0;Data Analyst;NA;20000;,00;40,00;20,00
62a36969f8f756164585821d;Other;Analyst Primary Market Intelligence;20000;,00;40,00;20,00
62a3697ff408bae018ed948b;Data Analyst;NA;95500;86,00;105,00;95,50
62a36ac6cf255543173063d8;Data Analyst;NA;53000;41,00;65,00;53,00
62a36ad1f408bae018ed9793;Data Analyst;NA;53000;41,00;65,00;53,00
62a36b6c24a26260273882a2;Data Analyst;NA;20000;,00;40,00;20,00
62a36b862e54c9003e5383c6;Other;software engineer;95500;86,00;105,00;95,50
62a36d12f8d5efcc22f82cd8;Student/Looking/None;NA;20000;,00;40,00;20,00
62a36d3124a262602738862c;Data Analyst;NA;20000;,00;40,00;20,00
62a36e470a77c1a77f662470;Data Analyst;NA;137500;125,00;150,00;137,50
62a36e7024a262602738890a;Student/Looking/None;NA;20000;,00;40,00;20,00
62a36fe67dc029e2d66c5303;Data Analyst;NA;20000;,00;40,00;20,00
62a3701f575fa3a5ae89164e;Data Analyst;NA;75500;66,00;85,00;75,50
62a370635d257a28a30de5eb;Data Analyst;NA;20000;,00;40,00;20,00
62a37128d8c00e9f541a39dd;Data Analyst;NA;20000;,00;40,00;20,00
62a3715124a2626027388f02;Data Analyst;NA;20000;,00;40,00;20,00
62a37222cf2555431730732d;Data Engineer;NA;20000;,00;40,00;20,00
62a373efbc6861bf3177360b;Data Analyst;NA;187500;150,00;225,00;187,50
62a3759e5d257a28a30def3a;Data Analyst;NA;75500;66,00;85,00;75,50
62a3777624a262602738997e;Data Analyst;NA;53000;41,00;65,00;53,00
62a377987dc029e2d66c638d;Data Architect;NA;75500;66,00;85,00;75,50
62a377f424a2626027389af3;Data Analyst;NA;20000;,00;40,00;20,00
62a3784c0f8c8599d5af8fbc;Other;Data Integrity;20000;,00;40,00;20,00
62a37a43d8c00e9f541a4a7c;Data Analyst;NA;20000;,00;40,00;20,00
62a37a7818134ddc75cf0d4c;Data Analyst;NA;20000;,00;40,00;20,00
62a37aa1cf255543173081e5;Data Analyst;NA;75500;66,00;85,00;75,50
62a37ad924a2626027389f8a;Data Scientist;NA;20000;,00;40,00;20,00
